Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Month,Season,Day
4.0,Cirurgia,Urgncia Central,25.150537634408604,0.20430107526881722,3,1,winter,
4.0,Medicina,Urgncia Central,14.784615384615385,0.2076923076923077,3,1,winter,11.0
4.0,Medicina,Urgncia Central,9.576923076923077,0.1076923076923077,4,1,winter,12.0
4.0,Cirurgia,Urgncia Central,35.71212121212121,0.045454545454545456,4,1,winter,
4.0,Medicina,Urgncia Central,12.05940594059406,0.42574257425742573,5,1,winter,13.0
4.0,Cirurgia,Urgncia Central,46.111111111111114,0.1746031746031746,5,1,winter,
4.0,Cirurgia,Urgncia Central,53.11538461538461,0.24358974358974358,6,1,winter,
4.0,Medicina,Urgncia Central,11.894736842105264,0.17293233082706766,6,1,winter,14.0
4.0,Cirurgia,Urgncia Central,78.62637362637362,0.6153846153846154,0,1,winter,
4.0,Medicina,Urgncia Central,8.79746835443038,0.25316455696202533,0,1,winter,15.0
4.0,Medicina,Urgncia Central,7.348484848484849,0.045454545454545456,1,1,winter,16.0
4.0,Cirurgia,Urgncia Central,106.3,0.05,1,1,winter,
4.0,Cirurgia,Urgncia Central,45.54545454545455,0.3333333333333333,2,1,winter,
4.0,Medicina,Urgncia Central,10.0,0.25675675675675674,2,1,winter,17.0
4.0,Cirurgia,Urgncia Central,49.18518518518518,0.037037037037037035,3,1,winter,
4.0,Medicina,Urgncia Central,16.73267326732673,0.3069306930693069,3,1,winter,18.0
4.0,Cirurgia,Urgncia Central,49.18518518518518,0.037037037037037035,4,1,winter,
4.0,Medicina,Urgncia Central,16.73267326732673,0.3069306930693069,4,1,winter,19.0
4.0,Cirurgia,Urgncia Central,49.18518518518518,0.037037037037037035,5,1,winter,
4.0,Medicina,Urgncia Central,16.73267326732673,0.3069306930693069,5,1,winter,20.0
4.0,Cirurgia,Urgncia Central,49.18518518518518,0.037037037037037035,6,1,winter,
4.0,Medicina,Urgncia Central,16.73267326732673,0.3069306930693069,6,1,winter,21.0
4.0,Cirurgia,Urgncia Central,72.58823529411765,0.39215686274509803,0,1,winter,
4.0,Medicina,Urgncia Central,4.9393939393939394,0.045454545454545456,0,1,winter,22.0
